userID,Ucuisine,Upayment,smoker,drink_level,dress_preference,budget
U1001,American,cash,FALSE,abstemious,informal,medium
U1002,Mexican,cash,FALSE,abstemious,informal,low
U1003,Mexican,cash,FALSE,social drinker,formal,low
U1004,Bakery;Breakfast-Brunch;Japanese;Contemporary;Mexican;Bagels;Cafe-Coffee_Shop;Continental-European;Cafeteria,cash;bank_debit_cards,FALSE,abstemious,informal,medium
U1005,American,cash,FALSE,abstemious,no preference,medium
U1006,Mexican,cash,TRUE,social drinker,no preference,medium
U1007,Family,cash,FALSE,casual drinker,informal,low
U1008,Cafe-Coffee_Shop;Mexican;Juice;Hawaiian;Hot_Dogs;Latin_American;Korean;American;Cafeteria;Italian,cash,FALSE,social drinker,formal,low
U1009,Diner;Fast_Food;Family;Cafe-Coffee_Shop;Deli-Sandwiches;Cafeteria;Mexican,cash,FALSE,abstemious,formal,medium
U1010,Mexican,cash,FALSE,social drinker,no preference,medium
U1011,Mexican,cash,FALSE,abstemious,no preference,medium
U1012,Latin_American,cash;bank_debit_cards,FALSE,casual drinker,formal,medium
U1013,Japanese,MasterCard-Eurocard;cash,FALSE,abstemious,no preference,medium
U1014,Japanese;Fast_Food,cash,FALSE,abstemious,?,medium
U1015,Mexican,cash,TRUE,social drinker,informal,medium
U1016,Cafe-Coffee_Shop;Contemporary;Regional;Fusion;Japanese;Portuguese;American;Indian-Pakistani;Eastern_European;Lebanese;Moroccan;Barbecue;Polynesian;Polish,cash,FALSE,casual drinker,informal,medium
U1017,Chinese,cash;VISA,FALSE,casual drinker,formal,medium
U1018,Mexican,cash,TRUE,casual drinker,formal,low
U1019,Family,cash,FALSE,casual drinker,no preference,medium
U1020,Mexican,cash;bank_debit_cards,FALSE,abstemious,no preference,medium
U1021,Pizzeria;Regional;Chinese;Burgers,cash,FALSE,social drinker,no preference,medium
U1022,Mexican,cash,FALSE,casual drinker,formal,medium
U1023,Mexican,cash,FALSE,casual drinker,informal,low
U1026,Mexican,cash;bank_debit_cards,FALSE,abstemious,formal,medium
U1027,Family,cash,TRUE,social drinker,no preference,low
U1028,Mexican,cash,FALSE,abstemious,no preference,medium
U1029,Mexican,cash,TRUE,casual drinker,formal,low
U1030,Mexican,cash,FALSE,casual drinker,formal,medium
U1031,Mexican,cash;American_Express,FALSE,abstemious,informal,medium
U1032,Mexican,cash,FALSE,abstemious,formal,medium
U1033,Mexican,cash,FALSE,social drinker,no preference,low
U1034,Mexican,cash,FALSE,casual drinker,informal,medium
U1035,Family,cash;VISA,TRUE,casual drinker,no preference,medium
U1036,Mexican,cash,FALSE,social drinker,informal,medium
U1037,Mexican,cash,FALSE,social drinker,no preference,low
U1038,Mexican,cash,TRUE,social drinker,no preference,low
U1039,Regional,cash,FALSE,social drinker,no preference,medium
U1040,Pizzeria,cash,FALSE,abstemious,no preference,medium
U1041,Contemporary,bank_debit_cards;cash;American_Express;VISA,FALSE,abstemious,no preference,medium
U1042,Mexican,bank_debit_cards,FALSE,abstemious,no preference,high
U1043,Latin_American,cash,FALSE,abstemious,no preference,medium
U1044,Mexican,VISA;bank_debit_cards;cash;MasterCard-Eurocard,TRUE,social drinker,informal,medium
U1045,Middle_Eastern;Mexican;Mongolian;Moroccan,cash,FALSE,casual drinker,elegant,high
U1046,Bar,cash,FALSE,social drinker,no preference,medium
U1047,American,cash,FALSE,abstemious,no preference,medium
U1048,Mexican,cash,TRUE,casual drinker,no preference,medium
U1049,Mexican,cash,FALSE,casual drinker,informal,?
U1050,Mexican,cash,FALSE,social drinker,no preference,medium
U1051,Mexican,VISA;cash,FALSE,casual drinker,no preference,medium
U1052,Bakery,cash,TRUE,social drinker,no preference,low
U1053,Mexican,cash,FALSE,casual drinker,informal,low
U1054,Mexican,cash,FALSE,social drinker,formal,medium
U1055,Breakfast-Brunch,cash,FALSE,abstemious,no preference,medium
U1056,Mexican,cash,FALSE,social drinker,informal,medium
